irn,vendor_gstin,invoice_date,taxable_value
INV-000122,33CCPFU0939F1Z1,2026-01-03,172750
INV-000123,29ABCDE1234F1Z5,2026-01-04,174125
INV-000124,24AAACB2894G1ZQ,2026-01-05,175500
INV-000125,19AABCU9603R1ZX,2026-01-06,176875
INV-000126,06AAECS1234B1Z7,2026-01-07,178250
INV-000127,09AAKCS4456L1ZR,2026-01-08,179625
INV-000128,32AACCT2456M1ZP,2026-01-09,181000
INV-000129,INVALID_GSTIN_A,2026-01-10,182375
INV-000130,27AAPFU0939F1Z5,2026-01-11,183750
INV-000131,07BBPFU0939F1Z2,2026-01-12,185125
INV-000132,33CCPFU0939F1Z1,2026-01-13,186500
INV-000133,29ABCDE1234F1Z5,2026-01-14,187875
INV-000134,24AAACB2894G1ZQ,2026-01-15,189250
INV-000135,19AABCU9603R1ZX,2026-01-16,190625
INV-000136,06AAECS1234B1Z7,2026-01-17,192000
INV-000137,09AAKCS4456L1ZR,2026-01-18,193375
INV-000138,32AACCT2456M1ZP,2026-01-19,194750
INV-000139,INVALID_GSTIN_A,2026-01-20,196125
INV-000140,27AAPFU0939F1Z5,2026-01-21,197500
INV-000141,07BBPFU0939F1Z2,2026-01-22,198875
INV-000142,33CCPFU0939F1Z1,2026-01-23,200250
INV-000143,29ABCDE1234F1Z5,2026-01-24,201625
INV-000144,24AAACB2894G1ZQ,2026-01-25,203000
INV-000145,19AABCU9603R1ZX,2026-01-26,204375
INV-000146,06AAECS1234B1Z7,2026-01-27,205750
INV-000147,09AAKCS4456L1ZR,2026-01-28,207125
INV-000148,32AACCT2456M1ZP,2026-01-29,210000
INV-000149,INVALID_GSTIN_A,2026-01-30,209875
INV-000150,27AAPFU0939F1Z5,2026-01-31,211250
INV-000151,07BBPFU0939F1Z2,2026-02-01,212625
INV-000152,33CCPFU0939F1Z1,2026-02-02,214000
INV-000153,29ABCDE1234F1Z5,2026-02-03,215375
INV-000154,24AAACB2894G1ZQ,2026-02-04,216750
INV-000155,19AABCU9603R1ZX,2026-02-05,218125
INV-000156,06AAECS1234B1Z7,2026-02-06,219500
INV-000157,09AAKCS4456L1ZR,2026-02-07,220875
INV-000158,32AACCT2456M1ZP,2026-02-08,222250
INV-000159,INVALID_GSTIN_A,2026-02-09,223625
INV-000160,27AAPFU0939F1Z5,2026-02-10,225000
INV-000161,07BBPFU0939F1Z2,2026-02-11,226375
INV-000162,33CCPFU0939F1Z1,2026-02-12,227750
INV-000163,29ABCDE1234F1Z5,2026-02-13,229125
INV-000164,24AAACB2894G1ZQ,2026-02-14,230500
INV-000165,19AABCU9603R1ZX,2026-02-15,231875
INV-000166,06AAECS1234B1Z7,2026-02-16,233250
INV-000167,09AAKCS4456L1ZR,2026-02-17,234625
INV-000168,32AACCT2456M1ZP,2026-02-18,236000
INV-000169,INVALID_GSTIN_A,2026-02-19,237375
INV-000170,27AAPFU0939F1Z5,2026-02-20,238750
INV-000171,07BBPFU0939F1Z2,2026-02-21,240125
INV-000172,33CCPFU0939F1Z1,2026-02-22,241500
INV-000173,29ABCDE1234F1Z5,2026-02-23,242875
INV-000174,24AAACB2894G1ZQ,2026-02-24,244250
INV-000175,19AABCU9603R1ZX,2026-02-25,245625
INV-000176,06AAECS1234B1Z7,2026-02-26,247000
INV-000177,09AAKCS4456L1ZR,2026-02-27,248375
INV-000178,32AACCT2456M1ZP,2026-02-28,249750
INV-000179,INVALID_GSTIN_A,2026-03-01,251125
INV-000180,27AAPFU0939F1Z5,2026-03-02,252500
INV-000181,07BBPFU0939F1Z2,2026-03-03,253875
INV-000182,33CCPFU0939F1Z1,2026-03-04,255250
INV-000183,29ABCDE1234F1Z5,2026-03-05,256625
INV-000184,24AAACB2894G1ZQ,2026-03-06,258000
INV-000185,19AABCU9603R1ZX,2026-03-07,260000
INV-000186,06AAECS1234B1Z7,2026-03-08,260750
INV-000187,09AAKCS4456L1ZR,2026-03-09,262125
INV-000188,32AACCT2456M1ZP,2026-03-10,263500
INV-000189,INVALID_GSTIN_A,2026-03-11,264875
INV-000190,27AAPFU0939F1Z5,2026-03-12,266250
INV-000191,07BBPFU0939F1Z2,2026-03-13,267625
INV-000192,33CCPFU0939F1Z1,2026-03-14,269000
INV-000193,29ABCDE1234F1Z5,2026-03-15,270375
INV-000194,24AAACB2894G1ZQ,2026-03-16,271750
INV-000195,19AABCU9603R1ZX,2026-03-17,273125
INV-000196,06AAECS1234B1Z7,2026-03-18,274500
INV-000197,09AAKCS4456L1ZR,2026-03-19,275875
INV-000198,32AACCT2456M1ZP,2026-03-20,277250
INV-000199,INVALID_GSTIN_A,2026-03-21,278625
INV-000200,27AAPFU0939F1Z5,2026-03-22,280000
INV-000201,07BBPFU0939F1Z2,2026-03-23,281375
INV-000202,33CCPFU0939F1Z1,2026-03-24,282750
INV-000203,29ABCDE1234F1Z5,2026-03-25,284125
INV-000204,24AAACB2894G1ZQ,2026-03-26,285500
INV-000205,19AABCU9603R1ZX,2026-03-27,286875
INV-000206,06AAECS1234B1Z7,2026-03-28,288250
INV-000207,09AAKCS4456L1ZR,2026-03-29,289625
INV-000208,32AACCT2456M1ZP,2026-03-30,291000
INV-000209,INVALID_GSTIN_A,2026-03-31,292375
INV-000210,27AAPFU0939F1Z5,2026-04-01,293750
INV-000211,07BBPFU0939F1Z2,2026-04-02,295125
INV-000212,33CCPFU0939F1Z1,2026-04-03,296500
INV-000213,29ABCDE1234F1Z5,2026-04-04,297875
INV-000214,24AAACB2894G1ZQ,2026-04-05,299250
INV-000215,19AABCU9603R1ZX,2026-04-06,300625
INV-000216,06AAECS1234B1Z7,2026-04-07,302000
INV-000217,09AAKCS4456L1ZR,2026-04-08,303375
INV-000218,32AACCT2456M1ZP,2026-04-09,304750
INV-000219,INVALID_GSTIN_A,2026-04-10,306125
INV-000220,27AAPFU0939F1Z5,2026-04-11,307500
INV-000221,07BBPFU0939F1Z2,2026-04-12,308875
INV-000222,33CCPFU0939F1Z1,2026-04-13,310000
INV-000223,29ABCDE1234F1Z5,2026-04-14,311625
INV-000224,24AAACB2894G1ZQ,2026-04-15,313000
INV-000225,19AABCU9603R1ZX,2026-04-16,314375
INV-000226,06AAECS1234B1Z7,2026-04-17,315750
INV-000227,09AAKCS4456L1ZR,2026-04-18,317125
INV-000228,32AACCT2456M1ZP,2026-04-19,318500
INV-000229,INVALID_GSTIN_A,2026-04-20,319875
INV-000230,27AAPFU0939F1Z5,2026-04-21,321250
INV-000231,07BBPFU0939F1Z2,2026-04-22,322625
INV-000232,33CCPFU0939F1Z1,2026-04-23,324000
INV-000233,29ABCDE1234F1Z5,2026-04-24,325375
INV-000234,24AAACB2894G1ZQ,2026-04-25,326750
INV-000235,19AABCU9603R1ZX,2026-04-26,328125
INV-000236,06AAECS1234B1Z7,2026-04-27,329500
INV-000237,09AAKCS4456L1ZR,2026-04-28,330875
INV-000238,32AACCT2456M1ZP,2026-04-29,332250
INV-000239,INVALID_GSTIN_A,2026-04-30,333625
INV-000240,27AAPFU0939F1Z5,2026-01-01,335000
INV-000241,07BBPFU0939F1Z2,2026-01-02,336375
INV-000242,33CCPFU0939F1Z1,2026-01-03,337750
INV-000243,29ABCDE1234F1Z5,2026-01-04,339125
INV-000244,24AAACB2894G1ZQ,2026-01-05,340500
INV-000245,19AABCU9603R1ZX,2026-01-06,341875
INV-000246,06AAECS1234B1Z7,2026-01-07,343250
INV-000247,09AAKCS4456L1ZR,2026-01-08,344625
INV-000248,32AACCT2456M1ZP,2026-01-09,346000
INV-000249,INVALID_GSTIN_A,2026-01-10,347375
INV-000250,27AAPFU0939F1Z5,2026-01-11,348750
INV-000251,07BBPFU0939F1Z2,2026-01-12,350125
INV-000252,33CCPFU0939F1Z1,2026-01-13,351500
INV-000253,29ABCDE1234F1Z5,2026-01-14,352875
INV-000254,24AAACB2894G1ZQ,2026-01-15,354250
INV-000255,19AABCU9603R1ZX,2026-01-16,355625
INV-000256,06AAECS1234B1Z7,2026-01-17,357000
INV-000257,09AAKCS4456L1ZR,2026-01-18,358375
INV-000258,32AACCT2456M1ZP,2026-01-19,359750
INV-000259,INVALID_GSTIN_A,2026-01-20,360000
INV-000260,27AAPFU0939F1Z5,2026-01-21,362500
INV-000261,07BBPFU0939F1Z2,2026-01-22,363875
INV-000262,33CCPFU0939F1Z1,2026-01-23,365250
INV-000263,29ABCDE1234F1Z5,2026-01-24,366625
INV-000264,24AAACB2894G1ZQ,2026-01-25,368000
INV-000265,19AABCU9603R1ZX,2026-01-26,369375
INV-000266,06AAECS1234B1Z7,2026-01-27,370750
INV-000267,09AAKCS4456L1ZR,2026-01-28,372125
INV-000268,32AACCT2456M1ZP,2026-01-29,373500
INV-000269,INVALID_GSTIN_A,2026-01-30,374875
INV-000270,27AAPFU0939F1Z5,2026-01-31,376250
INV-000271,07BBPFU0939F1Z2,2026-02-01,377625
INV-000272,33CCPFU0939F1Z1,2026-02-02,379000
INV-000273,29ABCDE1234F1Z5,2026-02-03,380375
INV-000274,24AAACB2894G1ZQ,2026-02-04,381750
INV-000275,19AABCU9603R1ZX,2026-02-05,383125
INV-000276,06AAECS1234B1Z7,2026-02-06,384500
INV-000277,09AAKCS4456L1ZR,2026-02-07,385875
INV-000278,32AACCT2456M1ZP,2026-02-08,387250
INV-000279,INVALID_GSTIN_A,2026-02-09,388625
INV-000280,27AAPFU0939F1Z5,2026-02-10,390000
INV-000281,07BBPFU0939F1Z2,2026-02-11,391375
INV-000282,33CCPFU0939F1Z1,2026-02-12,392750
INV-000283,29ABCDE1234F1Z5,2026-02-13,394125
INV-000284,24AAACB2894G1ZQ,2026-02-14,395500
INV-000285,19AABCU9603R1ZX,2026-02-15,396875
INV-000286,06AAECS1234B1Z7,2026-02-16,398250
INV-000287,09AAKCS4456L1ZR,2026-02-17,399625
INV-000288,32AACCT2456M1ZP,2026-02-18,401000
INV-000289,INVALID_GSTIN_A,2026-02-19,402375
INV-000290,27AAPFU0939F1Z5,2026-02-20,403750
INV-000291,07BBPFU0939F1Z2,2026-02-21,405125
INV-000292,33CCPFU0939F1Z1,2026-02-22,406500
INV-000293,29ABCDE1234F1Z5,2026-02-23,407875
INV-000294,24AAACB2894G1ZQ,2026-02-24,409250
INV-000295,19AABCU9603R1ZX,2026-02-25,410625
INV-000296,06AAECS1234B1Z7,2026-02-26,410000
INV-000297,09AAKCS4456L1ZR,2026-02-27,413375
INV-000298,32AACCT2456M1ZP,2026-02-28,414750
INV-000299,INVALID_GSTIN_A,2026-03-01,416125
INV-000300,27AAPFU0939F1Z5,2026-03-02,417500
INV-000301,07BBPFU0939F1Z2,2026-03-03,418875
INV-000302,33CCPFU0939F1Z1,2026-03-04,420250
INV-000303,29ABCDE1234F1Z5,2026-03-05,421625
INV-000304,24AAACB2894G1ZQ,2026-03-06,423000
INV-000305,19AABCU9603R1ZX,2026-03-07,424375
INV-000306,06AAECS1234B1Z7,2026-03-08,425750
INV-000307,09AAKCS4456L1ZR,2026-03-09,427125
INV-000308,32AACCT2456M1ZP,2026-03-10,428500
INV-000309,INVALID_GSTIN_A,2026-03-11,429875
INV-000310,27AAPFU0939F1Z5,2026-03-12,431250
INV-000311,07BBPFU0939F1Z2,2026-03-13,432625
INV-000312,33CCPFU0939F1Z1,2026-03-14,434000
INV-000313,29ABCDE1234F1Z5,2026-03-15,435375
INV-000314,24AAACB2894G1ZQ,2026-03-16,436750
INV-000315,19AABCU9603R1ZX,2026-03-17,438125
INV-000316,06AAECS1234B1Z7,2026-03-18,439500
INV-000317,09AAKCS4456L1ZR,2026-03-19,440875
INV-000318,32AACCT2456M1ZP,2026-03-20,442250
INV-000319,INVALID_GSTIN_A,2026-03-21,443625
INV-000320,27AAPFU0939F1Z5,2026-03-22,445000
INV-000321,07BBPFU0939F1Z2,2026-03-23,446375
INV-000322,33CCPFU0939F1Z1,2026-03-24,447750
INV-000323,29ABCDE1234F1Z5,2026-03-25,449125
INV-000324,24AAACB2894G1ZQ,2026-03-26,450500
INV-000325,19AABCU9603R1ZX,2026-03-27,451875
INV-000326,06AAECS1234B1Z7,2026-03-28,453250
INV-000327,09AAKCS4456L1ZR,2026-03-29,454625
INV-000328,32AACCT2456M1ZP,2026-03-30,456000
INV-000329,INVALID_GSTIN_A,2026-03-31,457375
INV-000330,27AAPFU0939F1Z5,2026-04-01,458750
INV-000331,07BBPFU0939F1Z2,2026-04-02,460125
INV-000332,33CCPFU0939F1Z1,2026-04-03,461500
INV-000333,29ABCDE1234F1Z5,2026-04-04,460000
INV-000334,24AAACB2894G1ZQ,2026-04-05,464250
INV-000335,19AABCU9603R1ZX,2026-04-06,465625
INV-000336,06AAECS1234B1Z7,2026-04-07,467000
INV-000337,09AAKCS4456L1ZR,2026-04-08,468375
INV-000338,32AACCT2456M1ZP,2026-04-09,469750
INV-000339,INVALID_GSTIN_A,2026-04-10,471125
INV-000340,27AAPFU0939F1Z5,2026-04-11,472500
INV-000341,07BBPFU0939F1Z2,2026-04-12,473875
INV-000342,33CCPFU0939F1Z1,2026-04-13,475250
INV-000343,29ABCDE1234F1Z5,2026-04-14,476625
INV-000344,24AAACB2894G1ZQ,2026-04-15,478000
INV-000345,19AABCU9603R1ZX,2026-04-16,479375
INV-000346,06AAECS1234B1Z7,2026-04-17,480750
INV-000347,09AAKCS4456L1ZR,2026-04-18,482125
INV-000348,32AACCT2456M1ZP,2026-04-19,483500
INV-000349,INVALID_GSTIN_A,2026-04-20,484875
INV-000350,27AAPFU0939F1Z5,2026-04-21,486250
INV-000351,07BBPFU0939F1Z2,2026-04-22,487625
INV-000352,33CCPFU0939F1Z1,2026-04-23,489000
INV-000353,29ABCDE1234F1Z5,2026-04-24,490375
INV-000354,24AAACB2894G1ZQ,2026-04-25,491750
INV-000355,19AABCU9603R1ZX,2026-04-26,493125
INV-000356,06AAECS1234B1Z7,2026-04-27,494500
INV-000357,09AAKCS4456L1ZR,2026-04-28,495875
INV-000358,32AACCT2456M1ZP,2026-04-29,497250
INV-000359,INVALID_GSTIN_A,2026-04-30,498625
INV-000360,27AAPFU0939F1Z5,2026-01-01,500000
INV-000361,07BBPFU0939F1Z2,2026-01-02,501375
INV-000362,33CCPFU0939F1Z1,2026-01-03,502750
INV-000363,29ABCDE1234F1Z5,2026-01-04,504125
INV-000364,24AAACB2894G1ZQ,2026-01-05,505500
INV-000365,19AABCU9603R1ZX,2026-01-06,506875
INV-000366,06AAECS1234B1Z7,2026-01-07,508250
INV-000367,09AAKCS4456L1ZR,2026-01-08,509625
INV-000368,32AACCT2456M1ZP,2026-01-09,511000
INV-000369,INVALID_GSTIN_A,2026-01-10,512375
INV-000370,27AAPFU0939F1Z5,2026-01-11,510000
INV-000371,07BBPFU0939F1Z2,2026-01-12,515125
INV-000372,33CCPFU0939F1Z1,2026-01-13,516500
INV-000373,29ABCDE1234F1Z5,2026-01-14,517875
INV-000374,24AAACB2894G1ZQ,2026-01-15,519250
INV-000375,19AABCU9603R1ZX,2026-01-16,520625
INV-000376,06AAECS1234B1Z7,2026-01-17,522000
INV-000377,09AAKCS4456L1ZR,2026-01-18,523375
INV-000378,32AACCT2456M1ZP,2026-01-19,524750
INV-000379,INVALID_GSTIN_A,2026-01-20,526125
INV-000380,27AAPFU0939F1Z5,2026-01-21,527500
INV-000381,07BBPFU0939F1Z2,2026-01-22,528875
INV-000382,33CCPFU0939F1Z1,2026-01-23,530250
INV-000383,29ABCDE1234F1Z5,2026-01-24,531625
INV-000384,24AAACB2894G1ZQ,2026-01-25,533000
INV-000385,19AABCU9603R1ZX,2026-01-26,534375
INV-000386,06AAECS1234B1Z7,2026-01-27,535750
INV-000387,09AAKCS4456L1ZR,2026-01-28,537125
INV-000388,32AACCT2456M1ZP,2026-01-29,538500
INV-000389,INVALID_GSTIN_A,2026-01-30,539875
INV-000390,27AAPFU0939F1Z5,2026-01-31,541250
INV-000391,07BBPFU0939F1Z2,2026-02-01,542625
INV-000392,33CCPFU0939F1Z1,2026-02-02,544000
INV-000393,29ABCDE1234F1Z5,2026-02-03,545375
INV-000394,24AAACB2894G1ZQ,2026-02-04,546750
INV-000395,19AABCU9603R1ZX,2026-02-05,548125
INV-000396,06AAECS1234B1Z7,2026-02-06,549500
INV-000397,09AAKCS4456L1ZR,2026-02-07,550875
INV-000398,32AACCT2456M1ZP,2026-02-08,552250
INV-000399,INVALID_GSTIN_A,2026-02-09,553625
INV-000400,27AAPFU0939F1Z5,2026-02-10,555000
INV-000401,07BBPFU0939F1Z2,2026-02-11,556375
INV-000402,33CCPFU0939F1Z1,2026-02-12,557750
INV-000403,29ABCDE1234F1Z5,2026-02-13,559125
INV-000404,24AAACB2894G1ZQ,2026-02-14,560500
INV-000405,19AABCU9603R1ZX,2026-02-15,561875
INV-000406,06AAECS1234B1Z7,2026-02-16,563250
INV-000407,09AAKCS4456L1ZR,2026-02-17,560000
INV-000408,32AACCT2456M1ZP,2026-02-18,566000
INV-000409,INVALID_GSTIN_A,2026-02-19,567375
INV-000410,27AAPFU0939F1Z5,2026-02-20,568750
INV-000411,07BBPFU0939F1Z2,2026-02-21,570125
INV-000412,33CCPFU0939F1Z1,2026-02-22,571500
INV-000413,29ABCDE1234F1Z5,2026-02-23,572875
INV-000414,24AAACB2894G1ZQ,2026-02-24,574250
INV-000415,19AABCU9603R1ZX,2026-02-25,575625
INV-000416,06AAECS1234B1Z7,2026-02-26,577000
INV-000417,09AAKCS4456L1ZR,2026-02-27,578375
INV-000418,32AACCT2456M1ZP,2026-02-28,579750
INV-000419,INVALID_GSTIN_A,2026-03-01,581125
INV-000420,27AAPFU0939F1Z5,2026-03-02,582500
INV-000421,07BBPFU0939F1Z2,2026-03-03,583875
INV-000422,33CCPFU0939F1Z1,2026-03-04,585250
INV-000423,29ABCDE1234F1Z5,2026-03-05,586625
INV-000424,24AAACB2894G1ZQ,2026-03-06,588000
INV-000425,19AABCU9603R1ZX,2026-03-07,589375
INV-000426,06AAECS1234B1Z7,2026-03-08,590750
INV-000427,09AAKCS4456L1ZR,2026-03-09,592125
INV-000428,32AACCT2456M1ZP,2026-03-10,593500
INV-000429,INVALID_GSTIN_A,2026-03-11,594875
INV-000430,27AAPFU0939F1Z5,2026-03-12,596250
INV-000431,07BBPFU0939F1Z2,2026-03-13,597625
INV-000432,33CCPFU0939F1Z1,2026-03-14,599000
INV-000433,29ABCDE1234F1Z5,2026-03-15,600375
INV-000434,24AAACB2894G1ZQ,2026-03-16,601750
INV-000435,19AABCU9603R1ZX,2026-03-17,603125
INV-000436,06AAECS1234B1Z7,2026-03-18,604500
INV-000437,09AAKCS4456L1ZR,2026-03-19,605875
INV-000438,32AACCT2456M1ZP,2026-03-20,607250
INV-000439,INVALID_GSTIN_A,2026-03-21,608625
INV-000440,27AAPFU0939F1Z5,2026-03-22,610000
INV-000441,07BBPFU0939F1Z2,2026-03-23,611375
INV-000442,33CCPFU0939F1Z1,2026-03-24,612750
INV-000443,29ABCDE1234F1Z5,2026-03-25,614125
INV-000444,24AAACB2894G1ZQ,2026-03-26,620000
INV-000445,19AABCU9603R1ZX,2026-03-27,616875
INV-000446,06AAECS1234B1Z7,2026-03-28,618250
INV-000447,09AAKCS4456L1ZR,2026-03-29,619625
INV-000448,32AACCT2456M1ZP,2026-03-30,621000
INV-000449,INVALID_GSTIN_A,2026-03-31,622375
INV-000450,27AAPFU0939F1Z5,2026-04-01,623750
INV-000451,07BBPFU0939F1Z2,2026-04-02,625125
INV-000452,33CCPFU0939F1Z1,2026-04-03,626500
INV-000453,29ABCDE1234F1Z5,2026-04-04,627875
INV-000454,24AAACB2894G1ZQ,2026-04-05,629250
INV-000455,19AABCU9603R1ZX,2026-04-06,630625
INV-000456,06AAECS1234B1Z7,2026-04-07,632000
INV-000457,09AAKCS4456L1ZR,2026-04-08,633375
INV-000458,32AACCT2456M1ZP,2026-04-09,634750
INV-000459,INVALID_GSTIN_A,2026-04-10,636125
INV-000460,27AAPFU0939F1Z5,2026-04-11,637500
INV-000461,07BBPFU0939F1Z2,2026-04-12,638875
INV-000462,33CCPFU0939F1Z1,2026-04-13,640250
INV-000463,29ABCDE1234F1Z5,2026-04-14,641625
INV-000464,24AAACB2894G1ZQ,2026-04-15,643000
INV-000465,19AABCU9603R1ZX,2026-04-16,644375
INV-000466,06AAECS1234B1Z7,2026-04-17,645750
INV-000467,09AAKCS4456L1ZR,2026-04-18,647125
INV-000468,32AACCT2456M1ZP,2026-04-19,648500
INV-000469,INVALID_GSTIN_A,2026-04-20,649875
INV-000470,27AAPFU0939F1Z5,2026-04-21,651250
INV-000471,07BBPFU0939F1Z2,2026-04-22,652625
